#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
3	2013-06-05T16:11:38Z	59.044	7.377	25.109
4	2013-06-05T16:41:38Z	55.587	7.336	25.162
5	2013-06-05T17:11:38Z	54.924	7.320	25.198
6	2013-06-05T17:41:38Z	52.034	7.267	25.181
7	2013-06-05T18:11:38Z	52.896	7.247	25.190
8	2013-06-05T18:41:38Z	54.185	7.223	25.238
9	2013-06-05T19:11:38Z	51.834	7.190	25.247
10	2013-06-05T19:41:38Z	51.960	7.178	25.310
11	2013-06-05T20:11:38Z	49.156	7.162	25.325
12	2013-06-05T20:41:38Z	49.044	7.152	25.291
13	2013-06-05T21:11:38Z	51.403	7.189	25.259
14	2013-06-05T21:41:38Z	51.445	7.187	25.253
15	2013-06-05T22:11:38Z	53.087	7.241	25.165
16	2013-06-05T22:41:38Z	56.966	7.331	25.127
17	2013-06-05T23:11:38Z	56.839	7.340	25.087
18	2013-06-05T23:41:38Z	59.936	7.394	24.916
19	2013-06-06T00:11:38Z	60.361	7.429	24.922
20	2013-06-06T00:41:38Z	63.891	7.493	24.709
21	2013-06-06T01:11:38Z	65.049	7.511	24.876
22	2013-06-06T01:41:38Z	67.698	7.487	24.743
23	2013-06-06T02:11:38Z	68.160	7.566	24.776
24	2013-06-06T02:41:38Z	67.684	7.575	24.787
25	2013-06-06T03:11:38Z	64.791	7.345	24.923
26	2013-06-06T03:41:38Z	67.924	7.418	24.841
27	2013-06-06T04:11:38Z	57.648	7.439	25.003
28	2013-06-06T04:41:38Z	58.708	7.477	25.000
29	2013-06-06T05:11:38Z	61.583	7.527	24.922
30	2013-06-06T05:41:38Z	63.041	7.567	24.809
31	2013-06-06T06:11:38Z	64.834	7.578	24.794
32	2013-06-06T06:41:38Z	67.042	7.580	24.716
33	2013-06-06T07:11:38Z	66.950	7.533	24.816
34	2013-06-06T07:41:38Z	68.143	7.418	24.774
35	2013-06-06T08:11:38Z	66.255	7.429	24.815
36	2013-06-06T08:41:38Z	65.446	7.407	24.827
37	2013-06-06T09:11:38Z	66.100	7.407	24.875
38	2013-06-06T09:41:38Z	66.335	7.424	24.841
39	2013-06-06T10:11:38Z	65.695	7.399	24.906
40	2013-06-06T10:41:38Z	64.498	7.405	24.791
41	2013-06-06T11:11:38Z	68.201	7.435	24.828
42	2013-06-06T11:41:38Z	68.244	7.472	24.826
43	2013-06-06T12:11:38Z	68.964	7.485	24.825
44	2013-06-06T12:41:38Z	64.923	7.384	24.848
45	2013-06-06T13:11:38Z	64.909	7.373	24.844
46	2013-06-06T13:41:38Z	64.418	7.356	24.920
47	2013-06-06T14:11:38Z	63.927	7.327	24.954
48	2013-06-06T14:41:38Z	66.276	7.407	24.870
49	2013-06-06T15:11:38Z	64.346	7.373	24.842
50	2013-06-06T15:41:38Z	59.250	7.320	24.999
51	2013-06-06T16:11:38Z	51.611	7.342	25.123
52	2013-06-06T16:41:38Z	50.198	7.325	25.213
53	2013-06-06T17:11:38Z	50.779	7.239	25.153
54	2013-06-06T17:41:38Z	42.864	7.069	25.372
55	2013-06-06T18:11:38Z	42.598	7.041	25.455
56	2013-06-06T18:41:38Z	44.235	7.048	25.453
57	2013-06-06T19:11:38Z	43.552	7.045	25.533
58	2013-06-06T19:41:38Z	45.875	7.061	25.453
59	2013-06-06T20:11:38Z	43.079	7.045	25.482
60	2013-06-06T20:41:38Z	42.864	7.042	25.485
61	2013-06-06T21:11:38Z	43.213	7.050	25.420
62	2013-06-06T21:41:38Z	43.968	7.070	25.349
63	2013-06-06T22:11:38Z	44.775	7.082	25.357
64	2013-06-06T22:41:38Z	48.564	7.177	25.240
65	2013-06-06T23:11:38Z	50.888	7.266	25.186
66	2013-06-06T23:41:38Z	59.277	7.293	24.955
67	2013-06-07T00:11:38Z	61.264	7.302	24.984
68	2013-06-07T00:41:38Z	63.752	7.363	24.941
69	2013-06-07T01:11:38Z	65.757	7.449	24.821
70	2013-06-07T01:41:38Z	67.678	7.509	24.779
71	2013-06-07T02:11:38Z	64.525	7.520	24.785
72	2013-06-07T02:41:38Z	64.544	7.492	24.756
73	2013-06-07T03:11:38Z	65.973	7.470	24.849
74	2013-06-07T03:41:38Z	66.870	7.459	24.802
75	2013-06-07T04:11:38Z	65.934	7.437	24.809
76	2013-06-07T04:41:38Z	66.529	7.441	24.780
77	2013-06-07T05:11:38Z	67.086	7.430	24.767
78	2013-06-07T05:41:38Z	66.464	7.426	24.834
79	2013-06-07T06:11:38Z	68.800	7.509	24.737
80	2013-06-07T06:41:38Z	65.597	7.406	24.834
81	2013-06-07T07:11:38Z	66.495	7.476	24.785
82	2013-06-07T07:41:38Z	64.922	7.473	24.788
83	2013-06-07T08:11:38Z	62.686	7.602	24.872
84	2013-06-07T08:41:38Z	63.252	7.697	24.798
85	2013-06-07T09:11:38Z	62.034	7.535	24.885
86	2013-06-07T09:41:38Z	59.075	7.302	24.987
87	2013-06-07T10:11:38Z	55.581	7.257	24.712
88	2013-06-07T10:41:38Z	52.205	7.328	24.778
89	2013-06-07T11:11:38Z	53.379	7.345	24.751
90	2013-06-07T11:41:38Z	53.985	7.364	24.911
91	2013-06-07T12:11:38Z	55.462	7.369	24.859
92	2013-06-07T12:41:38Z	57.570	7.368	24.894
93	2013-06-07T13:11:38Z	61.141	7.358	24.847
94	2013-06-07T13:41:38Z	59.960	7.365	24.864
95	2013-06-07T14:11:38Z	63.093	7.388	24.889
96	2013-06-07T14:41:38Z	60.323	7.384	24.957
97	2013-06-07T15:11:38Z	58.300	7.363	24.957
98	2013-06-07T15:41:38Z	56.992	7.336	25.036
99	2013-06-07T16:11:38Z	53.095	7.305	25.117
100	2013-06-07T16:41:38Z	51.727	7.288	25.175
101	2013-06-07T17:11:38Z	51.116	7.289	25.143
102	2013-06-07T17:41:38Z	49.348	7.255	25.245
103	2013-06-07T18:11:38Z	49.146	7.289	25.235
104	2013-06-07T18:41:38Z	49.153	7.273	25.218
105	2013-06-07T19:11:38Z	47.789	7.272	25.302
106	2013-06-07T19:41:38Z	48.398	7.183	25.226
107	2013-06-07T20:11:38Z	48.286	7.164	25.280
108	2013-06-07T20:41:38Z	48.626	7.165	25.370
109	2013-06-07T21:11:38Z	51.080	7.200	25.158
110	2013-06-07T21:41:38Z	51.870	7.205	25.140
111	2013-06-07T22:11:38Z	47.642	7.182	25.399
112	2013-06-07T22:41:38Z	47.702	7.175	25.359
113	2013-06-07T23:11:38Z	40.142	7.187	25.493
114	2013-06-07T23:41:38Z	41.928	7.226	25.441
115	2013-06-08T00:11:38Z	41.847	7.231	25.364
116	2013-06-08T00:41:38Z	47.125	7.274	25.257
117	2013-06-08T01:11:38Z	49.253	7.323	25.192
118	2013-06-08T01:41:38Z	55.987	7.378	24.975
119	2013-06-08T02:11:38Z	57.718	7.385	24.956
120	2013-06-08T02:41:38Z	59.453	7.404	24.932
121	2013-06-08T03:11:38Z	59.128	7.421	24.908
122	2013-06-08T03:41:38Z	59.191	7.424	24.935
123	2013-06-08T04:11:38Z	54.773	7.252	25.067
124	2013-06-08T04:41:38Z	56.358	7.244	25.064
125	2013-06-08T05:11:38Z	57.525	7.275	25.005
126	2013-06-08T05:41:38Z	58.867	7.383	24.891
127	2013-06-08T06:11:38Z	62.235	7.488	24.799
128	2013-06-08T06:41:38Z	64.934	7.549	24.769
129	2013-06-08T07:11:38Z	62.280	7.527	24.812
130	2013-06-08T07:41:38Z	61.707	7.492	24.864
131	2013-06-08T08:11:38Z	60.059	7.434	25.009
132	2013-06-08T08:41:38Z	59.043	7.429	24.912
133	2013-06-08T09:11:38Z	57.889	7.406	25.003
134	2013-06-08T09:41:38Z	56.616	7.374	25.071
135	2013-06-08T10:11:38Z	54.496	7.344	25.052
136	2013-06-08T10:41:38Z	55.554	7.333	25.048
