#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
0	2013-08-23T16:18:40Z	41.060	14.058	24.462
1	2013-08-23T16:48:40Z	43.918	13.318	24.677
2	2013-08-23T17:18:40Z	39.823	12.872	24.941
3	2013-08-23T17:48:40Z	39.537	12.148	25.048
4	2013-08-23T18:18:40Z	39.243	12.132	25.017
5	2013-08-23T18:48:40Z	36.049	11.761	25.174
6	2013-08-23T19:18:40Z	34.962	11.432	25.210
7	2013-08-23T19:48:40Z	29.920	10.884	25.127
8	2013-08-23T20:18:40Z	27.525	10.386	25.309
9	2013-08-23T20:48:40Z	31.340	10.556	25.211
10	2013-08-23T21:18:40Z	29.287	10.664	25.384
11	2013-08-23T21:48:40Z	29.571	10.796	25.394
12	2013-08-23T22:18:40Z	30.770	10.978	25.362
13	2013-08-23T22:48:40Z	33.416	11.257	25.224
14	2013-08-23T23:18:40Z	34.397	11.524	25.241
15	2013-08-23T23:48:40Z	34.702	11.503	25.297
16	2013-08-24T00:18:40Z	36.825	11.752	25.077
17	2013-08-24T00:48:40Z	37.020	11.921	25.155
18	2013-08-24T01:18:40Z	40.154	12.027	25.128
19	2013-08-24T01:48:40Z	41.021	12.356	25.109
20	2013-08-24T02:18:40Z	39.925	12.425	25.104
21	2013-08-24T02:48:40Z	40.417	12.502	25.063
22	2013-08-24T03:18:40Z	37.150	12.044	25.046
23	2013-08-24T03:48:40Z	36.644	11.795	25.221
24	2013-08-24T04:18:40Z	37.944	12.001	25.158
25	2013-08-24T04:48:40Z	38.397	12.246	25.100
26	2013-08-24T05:18:40Z	38.397	12.153	25.045
27	2013-08-24T05:48:40Z	36.794	11.970	25.144
28	2013-08-24T06:18:40Z	36.290	11.893	25.238
29	2013-08-24T06:48:40Z	29.405	11.188	25.162
30	2013-08-24T07:18:40Z	28.308	10.937	25.249
31	2013-08-24T07:48:40Z	29.447	10.968	25.248
32	2013-08-24T08:18:40Z	30.092	10.993	25.447
33	2013-08-24T08:48:40Z	31.474	11.118	25.307
34	2013-08-24T09:18:40Z	33.238	11.588	25.276
35	2013-08-24T09:48:40Z	31.053	11.171	25.239
36	2013-08-24T10:18:40Z	31.176	11.180	25.233
37	2013-08-24T10:48:40Z	29.654	11.061	25.256
38	2013-08-24T11:18:40Z	29.659	10.960	25.319
39	2013-08-24T11:48:40Z	30.598	11.101	25.334
40	2013-08-24T12:18:40Z	31.684	11.311	25.293
41	2013-08-24T12:48:40Z	32.386	11.436	25.245
42	2013-08-24T13:18:40Z	33.833	11.719	25.230
43	2013-08-24T13:48:40Z	32.101	11.607	25.198
44	2013-08-24T14:18:40Z	31.334	11.436	25.237
45	2013-08-24T14:48:40Z	29.975	11.415	25.256
46	2013-08-24T15:18:40Z	32.015	11.517	25.250
47	2013-08-24T15:48:40Z	30.836	11.438	25.263
48	2013-08-24T16:18:40Z	32.529	11.461	25.215
49	2013-08-24T16:48:40Z	38.187	12.230	25.072
50	2013-08-24T17:18:40Z	36.213	12.062	25.148
51	2013-08-24T17:48:40Z	33.904	11.951	25.143
52	2013-08-24T18:18:40Z	32.587	11.709	25.196
53	2013-08-24T18:48:40Z	33.111	11.727	25.196
54	2013-08-24T19:18:40Z	31.857	11.645	25.148
55	2013-08-24T19:48:40Z	26.737	11.079	25.191
56	2013-08-24T20:18:40Z	25.479	10.875	25.221
57	2013-08-24T20:48:40Z	25.329	10.741	25.325
58	2013-08-24T21:18:40Z	24.492	10.715	25.393
59	2013-08-24T21:48:40Z	24.825	10.841	25.357
60	2013-08-24T22:18:40Z	23.455	10.673	25.353
61	2013-08-24T22:48:40Z	22.302	10.489	25.332
62	2013-08-24T23:18:40Z	22.189	10.432	25.463
63	2013-08-24T23:48:40Z	23.762	10.679	25.353
64	2013-08-25T00:18:40Z	22.900	10.718	25.425
65	2013-08-25T00:48:40Z	22.595	10.675	25.412
66	2013-08-25T01:18:40Z	22.512	10.661	25.427
67	2013-08-25T01:48:40Z	25.580	10.892	25.330
68	2013-08-25T02:18:40Z	28.783	11.192	25.296
69	2013-08-25T02:48:40Z	30.330	11.436	25.263
70	2013-08-25T03:18:40Z	30.712	11.531	25.220
71	2013-08-25T03:48:40Z	29.569	11.403	25.213
72	2013-08-25T04:18:40Z	31.382	11.567	25.219
73	2013-08-25T04:48:40Z	34.032	11.882	25.219
74	2013-08-25T05:18:40Z	33.428	11.852	25.129
75	2013-08-25T05:48:40Z	34.101	11.898	25.141
76	2013-08-25T06:18:40Z	29.555	11.488	25.216
77	2013-08-25T06:48:40Z	20.831	10.525	25.280
78	2013-08-25T07:18:40Z	22.704	10.694	25.388
79	2013-08-25T07:48:40Z	22.511	10.691	25.325
80	2013-08-25T08:18:40Z	23.479	10.766	25.294
81	2013-08-25T08:48:40Z	24.445	10.869	25.338
82	2013-08-25T09:18:40Z	24.909	10.831	25.250
83	2013-08-25T09:48:40Z	25.560	10.977	25.273
84	2013-08-25T10:18:40Z	25.994	11.208	25.326
85	2013-08-25T10:48:40Z	27.219	11.538	25.269
86	2013-08-25T11:18:40Z	26.902	11.488	25.328
87	2013-08-25T11:48:40Z	25.508	11.073	25.260
88	2013-08-25T12:18:40Z	25.259	10.914	25.289
89	2013-08-25T12:48:40Z	26.418	11.093	25.285
90	2013-08-25T13:18:40Z	26.438	11.046	25.253
91	2013-08-25T13:48:40Z	29.243	11.449	25.256
92	2013-08-25T14:18:40Z	29.287	11.476	25.253
93	2013-08-25T14:48:40Z	30.357	11.635	25.237
94	2013-08-25T15:18:40Z	29.425	11.484	25.124
95	2013-08-25T15:48:40Z	28.677	11.351	25.268
96	2013-08-25T16:18:40Z	30.154	11.556	25.210
97	2013-08-25T16:48:40Z	28.864	11.438	25.210
98	2013-08-25T17:18:40Z	30.684	11.633	25.191
99	2013-08-25T17:48:40Z	28.811	11.365	25.215
100	2013-08-25T18:18:40Z	30.597	11.576	25.257
101	2013-08-25T18:48:40Z	28.844	11.805	25.179
102	2013-08-25T19:18:40Z	27.576	11.453	25.198
103	2013-08-25T19:48:40Z	25.141	11.198	25.258
104	2013-08-25T20:18:40Z	25.319	11.208	25.243
105	2013-08-25T20:48:40Z	25.615	11.083	25.229
106	2013-08-25T21:18:40Z	23.111	10.681	25.346
107	2013-08-25T21:48:40Z	22.383	10.539	25.450
108	2013-08-25T22:18:40Z	22.840	10.532	25.330
109	2013-08-25T22:48:40Z	23.457	10.541	25.353
110	2013-08-25T23:18:40Z	22.447	10.430	25.441
111	2013-08-25T23:48:40Z	22.029	10.532	25.434
112	2013-08-26T00:18:40Z	24.601	10.779	25.372
113	2013-08-26T00:48:40Z	24.329	10.803	25.362
114	2013-08-26T01:18:40Z	24.008	10.846	25.360
115	2013-08-26T01:48:40Z	24.395	10.747	25.231
116	2013-08-26T02:18:40Z	24.704	10.865	25.395
117	2013-08-26T02:48:40Z	25.404	10.997	25.366
118	2013-08-26T03:18:40Z	24.900	10.978	25.338
119	2013-08-26T03:48:40Z	26.985	11.159	25.305
120	2013-08-26T04:18:40Z	25.536	11.122	25.300
121	2013-08-26T04:48:40Z	28.359	11.377	25.277
122	2013-08-26T05:18:40Z	28.673	11.479	25.220
123	2013-08-26T05:48:40Z	28.352	11.383	25.212
124	2013-08-26T06:18:40Z	31.497	11.769	25.174
125	2013-08-26T06:48:40Z	29.120	11.746	25.157
126	2013-08-26T07:18:40Z	27.645	11.597	25.142
127	2013-08-26T07:48:40Z	26.158	11.320	25.249
128	2013-08-26T08:18:40Z	24.201	10.975	25.304
129	2013-08-26T08:48:40Z	24.297	10.943	25.314
130	2013-08-26T09:18:40Z	24.415	11.008	25.306
131	2013-08-26T09:48:40Z	24.352	11.031	25.298
132	2013-08-26T10:18:40Z	24.616	11.101	25.431
133	2013-08-26T10:48:40Z	25.308	11.222	25.256
134	2013-08-26T11:18:40Z	23.406	10.957	25.245
135	2013-08-26T11:48:40Z	22.999	10.874	25.300
136	2013-08-26T12:18:40Z	24.545	11.008	25.309
137	2013-08-26T12:48:40Z	23.824	10.940	25.308
138	2013-08-26T13:18:40Z	24.782	10.910	25.371
139	2013-08-26T13:48:40Z	24.148	10.763	25.342
140	2013-08-26T14:18:40Z	25.190	10.922	25.320
141	2013-08-26T14:48:40Z	26.398	11.135	25.283
142	2013-08-26T15:18:40Z	25.565	11.005	25.341
143	2013-08-26T15:48:40Z	25.001	10.977	25.310
144	2013-08-26T16:18:40Z	24.804	11.037	25.325
145	2013-08-26T16:48:40Z	27.538	11.447	25.301
146	2013-08-26T17:18:40Z	29.716	11.794	25.194
147	2013-08-26T17:48:40Z	30.119	11.837	25.198
148	2013-08-26T18:18:40Z	30.509	11.904	25.135
149	2013-08-26T18:48:40Z	30.884	11.972	25.170
150	2013-08-26T19:18:40Z	28.789	11.736	25.258
151	2013-08-26T19:48:40Z	28.008	11.630	25.148
152	2013-08-26T20:18:40Z	25.478	11.338	25.186
153	2013-08-26T20:48:40Z	21.872	10.757	25.293
154	2013-08-26T21:18:40Z	18.142	10.500	25.358
155	2013-08-26T21:48:40Z	16.488	10.301	25.427
156	2013-08-26T22:18:40Z	15.456	10.183	25.392
157	2013-08-26T22:48:40Z	15.452	10.180	25.489
158	2013-08-26T23:18:40Z	17.641	10.290	25.503
159	2013-08-26T23:48:40Z	20.707	10.590	25.386
160	2013-08-27T00:18:40Z	21.987	10.754	25.424
161	2013-08-27T00:48:40Z	22.585	10.626	25.393
162	2013-08-27T01:18:40Z	18.580	10.460	25.360
163	2013-08-27T01:48:40Z	22.003	10.548	25.417
164	2013-08-27T02:18:40Z	23.782	10.670	25.402
165	2013-08-27T02:48:40Z	23.586	10.674	25.398
166	2013-08-27T03:18:40Z	23.290	10.738	25.328
167	2013-08-27T03:48:40Z	23.349	10.800	25.330
168	2013-08-27T04:18:40Z	23.360	10.841	25.313
169	2013-08-27T04:48:40Z	23.970	10.904	25.403
170	2013-08-27T05:18:40Z	28.045	11.303	25.223
171	2013-08-27T05:48:40Z	28.012	11.455	25.245
