#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
3	2014-09-01T17:17:44Z	4.713	8.221	26.657
4	2014-09-01T17:47:44Z	3.271	8.211	26.670
5	2014-09-01T18:17:44Z	5.688	8.104	26.138
6	2014-09-01T18:47:44Z	4.080	8.011	26.255
7	2014-09-01T19:17:44Z	2.244	8.332	26.932
8	2014-09-01T19:47:44Z	4.716	8.034	26.819
9	2014-09-01T20:17:44Z	5.871	8.004	26.762
10	2014-09-01T20:47:44Z	4.935	8.000	26.782
11	2014-09-01T21:17:44Z	2.049	8.043	26.725
12	2014-09-01T21:47:44Z	1.567	8.072	26.662
13	2014-09-01T22:17:44Z	3.859	8.065	26.739
14	2014-09-01T22:47:44Z	5.777	7.938	26.739
15	2014-09-01T23:17:44Z	3.188	7.862	26.746
16	2014-09-01T23:47:44Z	4.141	7.782	26.847
17	2014-09-02T00:17:44Z	5.834	7.746	26.761
18	2014-09-02T00:47:44Z	4.892	7.764	26.843
19	2014-09-02T01:17:44Z	2.709	7.768	26.767
20	2014-09-02T01:47:44Z	1.626	7.836	26.751
21	2014-09-02T02:17:44Z	3.387	7.856	26.763
22	2014-09-02T02:47:44Z	1.157	7.853	26.674
23	2014-09-02T03:17:44Z	1.192	7.789	26.836
24	2014-09-02T03:47:44Z	1.294	7.775	26.770
25	2014-09-02T04:17:44Z	2.088	7.761	26.750
26	2014-09-02T04:47:44Z	2.662	7.925	26.744
27	2014-09-02T05:17:44Z	2.013	8.059	26.790
28	2014-09-02T05:47:44Z	1.560	8.170	26.670
29	2014-09-02T06:17:44Z	1.196	8.291	26.665
30	2014-09-02T06:47:44Z	1.216	8.229	26.686
31	2014-09-02T07:17:44Z	1.316	8.221	26.653
32	2014-09-02T07:47:44Z	1.652	8.163	26.745
33	2014-09-02T08:17:44Z	2.383	8.147	26.708
34	2014-09-02T08:47:44Z	1.801	8.426	26.630
35	2014-09-02T09:17:44Z	0.843	8.608	26.605
36	2014-09-02T09:47:44Z	1.329	8.460	26.617
37	2014-09-02T10:17:44Z	1.262	8.427	26.591
38	2014-09-02T10:47:44Z	1.824	8.306	26.639
39	2014-09-02T11:17:44Z	1.082	8.035	26.723
40	2014-09-02T11:47:44Z	1.614	7.863	26.787
41	2014-09-02T12:17:44Z	1.245	7.815	26.822
42	2014-09-02T12:47:44Z	0.464	7.719	26.763
43	2014-09-02T13:17:44Z	0.623	7.630	26.854
44	2014-09-02T13:47:44Z	1.027	7.728	26.795
45	2014-09-02T14:17:44Z	1.217	7.907	26.846
46	2014-09-02T14:47:44Z	0.470	7.781	26.835
47	2014-09-02T15:17:44Z	0.812	7.723	26.812
48	2014-09-02T15:47:44Z	1.004	7.822	26.835
49	2014-09-02T16:17:44Z	1.051	7.817	26.869
50	2014-09-02T16:47:44Z	0.619	7.928	26.853
51	2014-09-02T17:17:44Z	0.669	8.142	26.747
52	2014-09-02T17:47:44Z	0.532	8.387	26.621
53	2014-09-02T18:17:44Z	0.472	8.189	26.716
54	2014-09-02T18:47:44Z	0.446	7.960	26.745
55	2014-09-02T19:17:44Z	0.452	7.921	26.812
56	2014-09-02T19:47:44Z	0.641	7.858	26.814
57	2014-09-02T20:17:44Z	0.371	7.908	26.823
58	2014-09-02T20:47:44Z	1.005	7.987	26.884
59	2014-09-02T21:17:44Z	0.670	8.195	26.759
60	2014-09-02T21:47:44Z	0.653	8.144	26.706
61	2014-09-02T22:17:44Z	0.463	8.341	26.724
62	2014-09-02T22:47:44Z	0.409	8.221	26.669
63	2014-09-02T23:17:44Z	0.380	8.119	26.660
64	2014-09-02T23:47:44Z	0.400	8.119	26.749
65	2014-09-03T00:17:44Z	0.405	8.192	26.649
66	2014-09-03T00:47:44Z	0.422	8.047	26.692
67	2014-09-03T01:17:44Z	0.528	7.959	26.756
68	2014-09-03T01:47:44Z	0.462	7.948	26.812
69	2014-09-03T02:17:44Z	0.436	8.076	26.718
70	2014-09-03T02:47:44Z	0.409	8.225	26.759
71	2014-09-03T03:17:44Z	0.375	8.222	26.658
72	2014-09-03T03:47:44Z	0.315	8.157	26.739
73	2014-09-03T04:17:44Z	0.307	8.175	26.771
74	2014-09-03T04:47:44Z	0.382	8.229	26.683
75	2014-09-03T05:17:44Z	0.315	8.225	26.644
76	2014-09-03T05:47:44Z	0.341	8.333	26.737
77	2014-09-03T06:17:44Z	0.353	8.288	26.672
78	2014-09-03T06:47:44Z	0.354	8.358	26.460
79	2014-09-03T07:17:44Z	0.309	8.517	26.627
80	2014-09-03T07:47:44Z	0.275	8.800	26.646
81	2014-09-03T08:17:44Z	0.287	9.021	26.567
82	2014-09-03T08:47:44Z	0.272	9.097	26.546
83	2014-09-03T09:17:44Z	0.235	8.650	26.637
84	2014-09-03T09:47:44Z	0.248	8.855	26.590
85	2014-09-03T10:17:44Z	0.244	8.550	26.809
86	2014-09-03T10:47:44Z	0.249	8.548	26.598
87	2014-09-03T11:17:44Z	0.291	8.438	26.587
88	2014-09-03T11:47:44Z	0.321	8.255	26.690
89	2014-09-03T12:17:44Z	0.279	7.989	26.807
90	2014-09-03T12:47:44Z	0.281	7.865	26.785
91	2014-09-03T13:17:44Z	0.294	7.818	26.804
92	2014-09-03T13:47:44Z	0.338	7.878	26.725
