#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
4	2015-02-11T17:56:05Z	38.572	7.150	25.965
5	2015-02-11T18:26:05Z	41.420	7.129	25.982
6	2015-02-11T18:56:05Z	40.348	7.183	25.805
7	2015-02-11T19:26:05Z	41.917	7.165	25.784
8	2015-02-11T19:56:05Z	43.395	7.054	25.863
9	2015-02-11T20:26:05Z	40.040	7.140	25.822
10	2015-02-11T20:56:05Z	39.147	7.157	25.880
11	2015-02-11T21:26:05Z	40.044	7.177	25.981
12	2015-02-11T21:56:05Z	36.498	7.287	25.987
13	2015-02-11T22:26:05Z	32.687	7.378	26.201
14	2015-02-11T22:56:05Z	35.184	7.362	26.153
15	2015-02-11T23:26:05Z	37.115	7.338	26.224
16	2015-02-11T23:56:05Z	33.541	7.375	26.375
17	2015-02-12T00:26:05Z	36.788	7.324	26.095
18	2015-02-12T00:56:05Z	34.229	7.340	26.095
19	2015-02-12T01:26:05Z	34.051	7.365	26.320
20	2015-02-12T01:56:05Z	32.022	7.373	26.245
21	2015-02-12T02:26:05Z	33.833	7.320	26.249
22	2015-02-12T02:56:05Z	35.892	7.351	26.298
23	2015-02-12T03:26:05Z	35.430	7.347	26.229
24	2015-02-12T03:56:05Z	34.884	7.358	26.218
25	2015-02-12T04:26:05Z	33.288	7.378	26.209
26	2015-02-12T04:56:05Z	37.478	7.283	26.083
27	2015-02-12T05:26:05Z	38.410	7.243	26.137
28	2015-02-12T05:56:05Z	36.179	7.333	26.389
29	2015-02-12T06:26:05Z	37.037	7.315	26.037
30	2015-02-12T06:56:05Z	38.025	7.218	26.142
31	2015-02-12T07:26:05Z	38.678	7.156	26.021
32	2015-02-12T07:56:05Z	40.623	7.102	26.071
33	2015-02-12T08:26:05Z	45.089	7.022	25.863
34	2015-02-12T08:56:05Z	45.505	7.027	25.832
35	2015-02-12T09:26:05Z	37.406	7.185	26.242
36	2015-02-12T09:56:05Z	34.677	7.303	26.106
37	2015-02-12T10:26:05Z	34.015	7.300	26.084
38	2015-02-12T10:56:05Z	33.917	7.370	26.174
39	2015-02-12T11:26:05Z	34.029	7.364	26.099
40	2015-02-12T11:56:05Z	36.136	7.317	26.112
41	2015-02-12T12:26:05Z	35.426	7.319	26.092
42	2015-02-12T12:56:05Z	34.986	7.367	26.119
43	2015-02-12T13:26:05Z	33.888	7.347	26.146
44	2015-02-12T13:56:05Z	34.971	7.330	26.130
45	2015-02-12T14:26:05Z	32.106	7.353	26.250
46	2015-02-12T14:56:05Z	34.273	7.335	26.133
47	2015-02-12T15:26:05Z	31.998	7.369	26.269
48	2015-02-12T15:56:05Z	30.765	7.448	26.238
49	2015-02-12T16:26:05Z	32.383	7.443	26.233
50	2015-02-12T16:56:05Z	29.044	7.428	26.255
