#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
1	2015-04-07T18:09:12Z	74.779	5.318	24.069
2	2015-04-07T18:39:12Z	66.113	5.314	24.768
3	2015-04-07T19:09:12Z	62.168	5.449	25.055
4	2015-04-07T19:39:12Z	63.586	5.403	24.962
5	2015-04-07T20:09:12Z	66.060	5.314	24.892
6	2015-04-07T20:39:12Z	67.459	5.232	24.621
7	2015-04-07T21:09:12Z	68.108	5.222	24.757
8	2015-04-07T21:39:12Z	66.983	5.249	24.756
9	2015-04-07T22:09:12Z	66.649	5.331	24.885
10	2015-04-07T22:39:12Z	66.720	5.352	24.894
11	2015-04-07T23:09:12Z	65.423	5.363	24.895
12	2015-04-07T23:39:12Z	70.352	5.225	24.757
13	2015-04-08T00:09:12Z	68.833	5.309	24.928
14	2015-04-08T00:39:12Z	70.809	5.219	24.846
15	2015-04-08T01:09:12Z	72.748	5.177	24.809
16	2015-04-08T01:39:12Z	73.297	5.178	24.787
17	2015-04-08T02:09:12Z	75.457	5.105	24.717
18	2015-04-08T02:39:12Z	75.226	5.061	24.707
19	2015-04-08T03:09:12Z	73.380	5.068	24.659
20	2015-04-08T03:39:12Z	76.551	5.013	24.672
21	2015-04-08T04:09:12Z	73.742	5.035	24.515
22	2015-04-08T04:39:12Z	78.783	5.025	24.417
23	2015-04-08T05:09:12Z	77.511	5.020	24.551
24	2015-04-08T05:39:12Z	77.139	5.006	24.575
25	2015-04-08T06:09:12Z	75.198	5.005	24.484
26	2015-04-08T06:39:12Z	78.755	4.996	24.566
27	2015-04-08T07:09:12Z	77.520	5.001	24.573
28	2015-04-08T07:39:12Z	77.716	4.981	24.560
29	2015-04-08T08:09:12Z	74.618	5.017	24.684
30	2015-04-08T08:39:12Z	72.930	5.060	24.691
31	2015-04-08T09:09:12Z	75.047	5.015	24.669
32	2015-04-08T09:39:12Z	76.403	4.973	24.581
33	2015-04-08T10:09:12Z	76.469	4.977	24.653
34	2015-04-08T10:39:12Z	74.776	5.084	24.949
35	2015-04-08T11:09:12Z	74.218	5.116	24.794
36	2015-04-08T11:39:12Z	74.891	5.076	24.697
37	2015-04-08T12:09:12Z	77.084	5.026	24.750
38	2015-04-08T12:39:12Z	76.855	5.026	24.679
39	2015-04-08T13:09:12Z	77.787	5.003	24.543
40	2015-04-08T13:39:12Z	76.668	5.031	24.765
41	2015-04-08T14:09:12Z	74.555	5.067	24.794
42	2015-04-08T14:39:12Z	75.889	5.070	24.787
43	2015-04-08T15:09:12Z	74.807	5.080	24.753
44	2015-04-08T15:39:12Z	74.285	5.055	24.677
45	2015-04-08T16:09:12Z	73.493	5.082	24.768
46	2015-04-08T16:39:12Z	73.672	5.073	24.746
47	2015-04-08T17:09:12Z	75.602	5.038	24.698
48	2015-04-08T17:39:12Z	77.706	5.021	24.670
49	2015-04-08T18:09:12Z	76.453	5.021	24.658
50	2015-04-08T18:39:12Z	77.162	5.014	24.676
51	2015-04-08T19:09:12Z	77.737	5.000	24.670
52	2015-04-08T19:39:12Z	76.232	5.066	24.881
53	2015-04-08T20:09:12Z	69.698	5.190	24.907
54	2015-04-08T20:39:12Z	66.627	5.270	24.843
55	2015-04-08T21:09:12Z	68.782	5.214	25.029
56	2015-04-08T21:39:12Z	71.270	5.213	24.941
57	2015-04-08T22:09:12Z	69.237	5.219	24.978
58	2015-04-08T22:39:12Z	65.183	5.320	25.130
59	2015-04-08T23:09:12Z	68.778	5.297	24.997
60	2015-04-08T23:39:12Z	69.263	5.277	25.021
61	2015-04-09T00:09:12Z	69.974	5.219	24.872
62	2015-04-09T00:39:12Z	68.858	5.206	24.886
63	2015-04-09T01:09:12Z	69.031	5.193	24.877
64	2015-04-09T01:39:12Z	68.946	5.192	24.905
65	2015-04-09T02:09:12Z	68.570	5.181	24.900
66	2015-04-09T02:39:12Z	71.880	5.155	24.842
67	2015-04-09T03:09:12Z	72.431	5.142	24.821
68	2015-04-09T03:39:12Z	69.902	5.168	24.949
69	2015-04-09T04:09:12Z	66.936	5.230	24.956
70	2015-04-09T04:39:12Z	68.457	5.197	24.899
71	2015-04-09T05:09:12Z	67.841	5.176	24.772
72	2015-04-09T05:39:12Z	71.423	5.140	24.702
73	2015-04-09T06:09:12Z	74.176	5.115	24.677
74	2015-04-09T06:39:12Z	74.626	5.074	24.650
75	2015-04-09T07:09:12Z	74.716	5.065	24.673
76	2015-04-09T07:39:12Z	73.677	5.056	24.566
77	2015-04-09T08:09:12Z	73.430	5.037	24.580
78	2015-04-09T08:39:12Z	73.079	5.034	24.598
79	2015-04-09T09:09:12Z	72.500	5.053	24.626
80	2015-04-09T09:39:12Z	72.174	5.108	24.765
81	2015-04-09T10:09:12Z	68.492	5.165	24.840
82	2015-04-09T10:39:12Z	68.219	5.215	25.073
83	2015-04-09T11:09:12Z	62.069	5.289	25.068
84	2015-04-09T11:39:12Z	64.955	5.284	25.028
85	2015-04-09T12:09:12Z	59.976	5.379	25.144
86	2015-04-09T12:39:12Z	58.754	5.461	25.583
87	2015-04-09T13:09:12Z	55.957	5.561	25.639
88	2015-04-09T13:39:12Z	59.564	5.497	25.748
89	2015-04-09T14:09:12Z	58.431	5.511	25.380
90	2015-04-09T14:39:12Z	57.480	5.462	25.286
91	2015-04-09T15:09:12Z	58.273	5.491	25.576
92	2015-04-09T15:39:12Z	54.884	5.549	25.185
93	2015-04-09T16:09:12Z	59.389	5.503	25.585
94	2015-04-09T16:39:12Z	60.791	5.415	25.094
95	2015-04-09T17:09:12Z	61.007	5.451	25.313
96	2015-04-09T17:39:12Z	61.081	5.430	25.193
97	2015-04-09T18:09:12Z	59.823	5.435	25.109
98	2015-04-09T18:39:12Z	59.874	5.453	25.182
99	2015-04-09T19:09:12Z	60.877	5.443	25.067
100	2015-04-09T19:39:12Z	59.739	5.448	25.333
101	2015-04-09T20:09:12Z	54.230	5.550	25.447
102	2015-04-09T20:39:12Z	57.865	5.568	25.566
103	2015-04-09T21:09:12Z	51.054	5.688	25.560
104	2015-04-09T21:39:12Z	50.112	5.688	25.474
105	2015-04-09T22:09:12Z	50.896	5.686	25.436
106	2015-04-09T22:39:12Z	49.300	5.718	25.512
107	2015-04-09T23:09:12Z	51.198	5.664	25.439
108	2015-04-09T23:39:12Z	51.025	5.663	25.583
109	2015-04-10T00:09:12Z	52.837	5.678	25.623
110	2015-04-10T00:39:12Z	52.481	5.674	25.592
111	2015-04-10T01:09:12Z	52.456	5.664	25.621
112	2015-04-10T01:39:12Z	53.015	5.673	25.628
113	2015-04-10T02:09:12Z	50.651	5.664	25.597
114	2015-04-10T02:39:12Z	50.095	5.686	25.598
115	2015-04-10T03:09:12Z	47.504	5.758	25.799
116	2015-04-10T03:39:12Z	49.936	5.690	25.494
117	2015-04-10T04:09:12Z	52.798	5.597	25.385
118	2015-04-10T04:39:12Z	53.673	5.605	25.448
