#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
0	2014-03-05T14:13:20Z	61.812	4.948	25.000
1	2014-03-05T14:43:20Z	61.450	5.044	24.971
2	2014-03-05T15:13:20Z	60.911	5.093	24.748
3	2014-03-05T15:43:20Z	63.894	4.734	24.620
4	2014-03-05T16:13:20Z	63.367	4.784	24.553
5	2014-03-05T16:43:20Z	63.113	4.755	24.567
6	2014-03-05T17:13:20Z	62.577	4.742	24.563
7	2014-03-05T17:43:20Z	64.346	4.681	24.412
8	2014-03-05T18:13:20Z	63.558	4.786	24.495
9	2014-03-05T18:43:20Z	63.038	4.796	24.538
10	2014-03-05T19:13:20Z	62.374	4.883	24.694
11	2014-03-05T19:43:20Z	62.619	4.850	24.609
12	2014-03-05T20:13:20Z	61.048	4.936	24.600
13	2014-03-05T20:43:20Z	61.082	4.954	24.787
14	2014-03-05T21:13:20Z	60.235	5.043	24.777
15	2014-03-05T21:43:20Z	58.198	5.106	24.763
16	2014-03-05T22:13:20Z	61.206	4.969	24.606
17	2014-03-05T22:43:20Z	62.596	4.821	24.479
18	2014-03-05T23:13:20Z	63.376	4.740	24.394
19	2014-03-05T23:43:20Z	63.125	4.770	24.506
20	2014-03-06T00:13:20Z	63.944	4.743	24.589
21	2014-03-06T00:43:20Z	61.478	4.808	24.663
22	2014-03-06T01:13:20Z	60.731	4.957	24.743
23	2014-03-06T01:43:20Z	59.511	5.138	24.898
24	2014-03-06T02:13:20Z	55.979	5.253	25.009
25	2014-03-06T02:43:20Z	56.706	5.263	24.870
26	2014-03-06T03:13:20Z	56.484	5.284	24.874
27	2014-03-06T03:43:20Z	61.105	5.011	24.646
28	2014-03-06T04:13:20Z	60.688	5.049	24.699
29	2014-03-06T04:43:20Z	60.747	4.969	24.626
30	2014-03-06T05:13:20Z	64.779	4.767	24.547
31	2014-03-06T05:43:20Z	65.543	4.650	24.429
32	2014-03-06T06:13:20Z	64.121	4.736	24.530
33	2014-03-06T06:43:20Z	61.096	4.983	24.805
34	2014-03-06T07:13:20Z	60.723	4.988	24.574
35	2014-03-06T07:43:20Z	61.592	5.002	24.709
36	2014-03-06T08:13:20Z	61.277	5.060	24.777
37	2014-03-06T08:43:20Z	60.128	5.150	24.706
38	2014-03-06T09:13:20Z	60.041	5.127	24.752
39	2014-03-06T09:43:20Z	58.567	5.158	24.803
40	2014-03-06T10:13:20Z	59.277	5.051	24.653
41	2014-03-06T10:43:20Z	61.063	4.928	24.537
42	2014-03-06T11:13:20Z	62.034	4.885	24.636
43	2014-03-06T11:43:20Z	61.404	4.936	24.664
44	2014-03-06T12:13:20Z	60.346	5.055	24.744
45	2014-03-06T12:43:20Z	58.464	5.138	24.634
46	2014-03-06T13:13:20Z	59.181	5.092	24.715
47	2014-03-06T13:43:20Z	60.581	5.073	24.694
48	2014-03-06T14:13:20Z	61.784	5.085	24.729
49	2014-03-06T14:43:20Z	61.597	5.088	24.906
50	2014-03-06T15:13:20Z	59.730	5.195	24.827
51	2014-03-06T15:43:20Z	60.399	5.229	24.972
52	2014-03-06T16:13:20Z	59.037	5.287	24.893
53	2014-03-06T16:43:20Z	60.082	5.225	24.738
54	2014-03-06T17:13:20Z	59.112	5.247	24.862
55	2014-03-06T17:43:20Z	61.066	5.088	24.723
56	2014-03-06T18:13:20Z	61.456	4.943	24.404
57	2014-03-06T18:43:20Z	61.644	4.932	24.673
58	2014-03-06T19:13:20Z	61.152	5.042	24.835
59	2014-03-06T19:43:20Z	61.951	5.091	24.718
60	2014-03-06T20:13:20Z	61.705	4.999	24.699
61	2014-03-06T20:43:20Z	60.833	5.115	24.818
62	2014-03-06T21:13:20Z	57.609	5.223	24.843
63	2014-03-06T21:43:20Z	59.878	5.147	24.771
64	2014-03-06T22:13:20Z	59.835	5.095	24.680
65	2014-03-06T22:43:20Z	61.100	5.002	24.673
66	2014-03-06T23:13:20Z	60.309	5.021	24.634
67	2014-03-06T23:43:20Z	63.848	4.816	24.399
68	2014-03-07T00:13:20Z	62.856	4.839	24.530
69	2014-03-07T00:43:20Z	63.422	4.816	24.583
70	2014-03-07T01:13:20Z	62.165	4.907	24.673
71	2014-03-07T01:43:20Z	62.275	4.882	24.472
72	2014-03-07T02:13:20Z	62.134	4.871	24.506
73	2014-03-07T02:43:20Z	62.947	4.816	24.476
74	2014-03-07T03:13:20Z	60.586	5.147	24.864
75	2014-03-07T03:43:20Z	60.341	5.196	24.908
76	2014-03-07T04:13:20Z	57.957	5.338	25.019
77	2014-03-07T04:43:20Z	60.718	5.184	24.750
78	2014-03-07T05:13:20Z	61.417	5.120	24.689
79	2014-03-07T05:43:20Z	55.705	5.293	24.992
80	2014-03-07T06:13:20Z	55.423	5.321	24.945
81	2014-03-07T06:43:20Z	61.497	5.110	24.665
82	2014-03-07T07:13:20Z	60.355	5.124	24.661
83	2014-03-07T07:43:20Z	58.686	5.214	24.705
84	2014-03-07T08:13:20Z	59.805	5.248	24.753
85	2014-03-07T08:43:20Z	60.130	5.238	25.059
86	2014-03-07T09:13:20Z	57.969	5.282	24.766
87	2014-03-07T09:43:20Z	58.538	5.297	24.856
88	2014-03-07T10:13:20Z	57.842	5.432	25.033
89	2014-03-07T10:43:20Z	56.309	5.553	25.118
90	2014-03-07T11:13:20Z	58.211	5.387	24.781
91	2014-03-07T11:43:20Z	58.114	5.281	24.833
92	2014-03-07T12:13:20Z	57.378	5.375	24.786
93	2014-03-07T12:43:20Z	58.650	5.189	24.680
94	2014-03-07T13:13:20Z	61.476	5.001	24.665
95	2014-03-07T13:43:20Z	61.506	4.966	24.650
96	2014-03-07T14:13:20Z	61.122	5.001	24.716
97	2014-03-07T14:43:20Z	60.108	5.139	24.596
98	2014-03-07T15:13:20Z	61.450	5.019	24.771
99	2014-03-07T15:43:20Z	59.761	5.089	24.836
100	2014-03-07T16:13:20Z	60.222	5.060	24.640
101	2014-03-07T16:43:20Z	58.693	5.189	24.726
102	2014-03-07T17:13:20Z	59.705	5.099	24.707
103	2014-03-07T17:43:20Z	60.577	5.089	24.753
104	2014-03-07T18:13:20Z	58.596	5.368	24.947
105	2014-03-07T18:43:20Z	57.666	5.409	25.045
106	2014-03-07T19:13:20Z	54.074	5.641	25.082
107	2014-03-07T19:43:20Z	53.172	5.573	24.974
108	2014-03-07T20:13:20Z	55.462	5.520	24.957
109	2014-03-07T20:43:20Z	60.624	5.162	24.638
110	2014-03-07T21:13:20Z	59.322	5.285	24.930
111	2014-03-07T21:43:20Z	59.335	5.317	25.043
112	2014-03-07T22:13:20Z	52.267	5.609	24.995
113	2014-03-07T22:43:20Z	52.632	5.638	25.162
114	2014-03-07T23:13:20Z	54.000	5.611	24.816
115	2014-03-07T23:43:20Z	59.648	5.347	24.817
116	2014-03-08T00:13:20Z	56.855	5.500	24.869
117	2014-03-08T00:43:20Z	59.466	5.233	24.810
118	2014-03-08T01:13:20Z	57.623	5.336	24.927
119	2014-03-08T01:43:20Z	59.679	5.158	24.791
120	2014-03-08T02:13:20Z	57.695	5.357	24.924
121	2014-03-08T02:43:20Z	54.041	5.624	25.310
122	2014-03-08T03:13:20Z	54.089	5.688	25.092
123	2014-03-08T03:43:20Z	51.626	5.758	25.441
124	2014-03-08T04:13:20Z	50.070	5.798	25.093
125	2014-03-08T04:43:20Z	54.656	5.567	24.817
126	2014-03-08T05:13:20Z	57.350	5.420	24.844
127	2014-03-08T05:43:20Z	58.718	5.269	24.732
128	2014-03-08T06:13:20Z	66.825	4.796	24.503
129	2014-03-08T06:43:20Z	69.764	4.413	24.097
130	2014-03-08T07:13:20Z	68.821	4.553	24.559
131	2014-03-08T07:43:20Z	70.032	4.275	24.127
132	2014-03-08T08:13:20Z	68.037	4.370	24.174
133	2014-03-08T08:43:20Z	62.635	4.892	24.845
134	2014-03-08T09:13:20Z	57.667	5.394	25.104
135	2014-03-08T09:43:20Z	57.064	5.473	25.009
136	2014-03-08T10:13:20Z	56.590	5.299	24.799
137	2014-03-08T10:43:20Z	61.543	4.913	24.683
138	2014-03-08T11:13:20Z	60.179	4.940	24.672
139	2014-03-08T11:43:20Z	58.571	4.882	24.602
140	2014-03-08T12:13:20Z	57.343	5.045	24.805
