#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
3	2014-06-04T16:00:45Z	48.121	6.272	24.618
4	2014-06-04T16:30:45Z	46.608	6.162	24.746
5	2014-06-04T17:00:45Z	46.124	6.133	24.714
6	2014-06-04T17:30:45Z	46.343	6.133	24.743
7	2014-06-04T18:00:45Z	48.460	6.210	24.641
8	2014-06-04T18:30:45Z	51.087	6.351	24.513
9	2014-06-04T19:00:45Z	50.768	6.359	24.511
10	2014-06-04T19:30:45Z	51.568	6.425	24.486
11	2014-06-04T20:00:45Z	51.664	6.378	24.546
12	2014-06-04T20:30:45Z	52.827	6.336	24.559
13	2014-06-04T21:00:45Z	53.157	6.476	24.445
14	2014-06-04T21:30:45Z	53.274	6.499	24.460
15	2014-06-04T22:00:45Z	51.155	6.403	24.538
16	2014-06-04T22:30:45Z	50.394	6.353	24.555
17	2014-06-04T23:00:45Z	49.765	6.344	24.546
18	2014-06-04T23:30:45Z	51.442	6.418	24.469
19	2014-06-05T00:00:45Z	51.142	6.404	24.547
20	2014-06-05T00:30:45Z	46.742	6.212	24.699
21	2014-06-05T01:00:45Z	44.484	6.122	24.682
22	2014-06-05T01:30:45Z	48.321	6.267	24.545
23	2014-06-05T02:00:45Z	49.087	6.294	24.581
24	2014-06-05T02:30:45Z	47.202	6.226	24.603
25	2014-06-05T03:00:45Z	47.361	6.235	24.613
26	2014-06-05T03:30:45Z	46.744	6.188	24.693
27	2014-06-05T04:00:45Z	46.298	6.161	24.672
28	2014-06-05T04:30:45Z	45.757	6.145	24.688
29	2014-06-05T05:00:45Z	44.723	6.110	24.747
30	2014-06-05T05:30:45Z	48.341	6.262	24.594
31	2014-06-05T06:00:45Z	49.947	6.359	24.532
32	2014-06-05T06:30:45Z	50.554	6.503	24.490
33	2014-06-05T07:00:45Z	51.934	6.612	24.425
34	2014-06-05T07:30:45Z	51.018	6.529	24.465
35	2014-06-05T08:00:45Z	53.767	6.682	24.373
36	2014-06-05T08:30:45Z	52.685	6.715	24.317
37	2014-06-05T09:00:45Z	55.754	6.925	24.274
38	2014-06-05T09:30:45Z	54.755	6.852	24.268
39	2014-06-05T10:00:45Z	52.023	6.661	24.394
40	2014-06-05T10:30:45Z	53.471	6.716	24.368
41	2014-06-05T11:00:45Z	50.735	6.519	24.456
42	2014-06-05T11:30:45Z	50.843	6.513	24.487
43	2014-06-05T12:00:45Z	48.868	6.399	24.524
44	2014-06-05T12:30:45Z	48.952	6.369	24.549
45	2014-06-05T13:00:45Z	48.086	6.285	24.550
46	2014-06-05T13:30:45Z	49.243	6.350	24.545
47	2014-06-05T14:00:45Z	48.826	6.331	24.549
48	2014-06-05T14:30:45Z	47.788	6.268	24.572
49	2014-06-05T15:00:45Z	48.172	6.322	24.583
50	2014-06-05T15:30:45Z	50.016	6.377	24.579
51	2014-06-05T16:00:45Z	47.068	6.284	24.580
52	2014-06-05T16:30:45Z	46.669	6.253	24.598
53	2014-06-05T17:00:45Z	47.121	6.257	24.573
54	2014-06-05T17:30:45Z	48.611	6.296	24.535
55	2014-06-05T18:00:45Z	47.850	6.269	24.600
56	2014-06-05T18:30:45Z	49.788	6.392	24.479
57	2014-06-05T19:00:45Z	52.403	6.546	24.505
58	2014-06-05T19:30:45Z	52.288	6.637	24.345
59	2014-06-05T20:00:45Z	51.534	6.608	24.392
60	2014-06-05T20:30:45Z	55.341	6.857	24.239
