#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
11	2013-04-25T15:30:40Z	52.543	5.353	26.006
12	2013-04-25T16:00:40Z	52.100	5.293	26.114
13	2013-04-25T16:30:40Z	49.487	5.268	26.180
14	2013-04-25T17:00:40Z	49.958	5.261	26.161
15	2013-04-25T17:30:40Z	43.367	5.239	26.396
16	2013-04-25T18:00:40Z	43.484	5.234	26.271
17	2013-04-25T18:30:40Z	44.497	5.230	26.308
18	2013-04-25T19:00:40Z	40.243	5.234	26.554
19	2013-04-25T19:30:40Z	33.568	5.249	26.383
20	2013-04-25T20:00:40Z	33.484	5.250	26.534
21	2013-04-25T20:30:40Z	35.346	5.254	26.444
22	2013-04-25T21:00:40Z	44.406	5.255	26.393
23	2013-04-25T21:30:40Z	45.581	5.258	26.515
24	2013-04-25T22:00:40Z	43.518	5.258	26.391
25	2013-04-25T22:30:40Z	44.890	5.259	26.464
26	2013-04-25T23:00:40Z	34.537	5.250	26.493
27	2013-04-25T23:30:40Z	34.363	5.237	26.502
28	2013-04-26T00:00:40Z	42.788	5.209	26.368
29	2013-04-26T00:30:40Z	42.392	5.220	26.289
30	2013-04-26T01:00:40Z	43.714	5.222	26.208
31	2013-04-26T01:30:40Z	48.423	5.239	26.140
32	2013-04-26T02:00:40Z	50.409	5.252	26.113
33	2013-04-26T02:30:40Z	53.532	5.287	26.087
34	2013-04-26T03:00:40Z	62.488	5.348	25.687
35	2013-04-26T03:30:40Z	64.932	5.389	25.556
36	2013-04-26T04:00:40Z	56.019	5.332	25.925
37	2013-04-26T04:30:40Z	60.014	5.351	25.953
38	2013-04-26T05:00:40Z	51.377	5.296	26.004
39	2013-04-26T05:30:40Z	52.496	5.300	25.968
40	2013-04-26T06:00:40Z	51.610	5.292	25.932
41	2013-04-26T06:30:40Z	52.942	5.282	25.949
42	2013-04-26T07:00:40Z	56.467	5.325	25.830
43	2013-04-26T07:30:40Z	60.283	5.357	25.767
44	2013-04-26T08:00:40Z	58.370	5.354	25.859
45	2013-04-26T08:30:40Z	55.219	5.317	25.939
46	2013-04-26T09:00:40Z	58.900	5.361	25.881
47	2013-04-26T09:30:40Z	62.919	5.449	25.693
48	2013-04-26T10:00:40Z	61.237	5.476	25.628
49	2013-04-26T10:30:40Z	62.387	5.476	25.548
50	2013-04-26T11:00:40Z	58.987	5.409	25.829
51	2013-04-26T11:30:40Z	57.506	5.405	25.769
52	2013-04-26T12:00:40Z	53.948	5.335	25.943
53	2013-04-26T12:30:40Z	54.062	5.340	25.889
54	2013-04-26T13:00:40Z	53.219	5.321	25.920
55	2013-04-26T13:30:40Z	55.134	5.328	25.968
56	2013-04-26T14:00:40Z	54.151	5.373	25.792
57	2013-04-26T14:30:40Z	54.333	5.355	25.857
58	2013-04-26T15:00:40Z	54.458	5.322	26.035
59	2013-04-26T15:30:40Z	55.018	5.333	25.969
60	2013-04-26T16:00:40Z	54.860	5.319	25.929
61	2013-04-26T16:30:40Z	53.365	5.311	25.997
62	2013-04-26T17:00:40Z	46.904	5.256	26.195
63	2013-04-26T17:30:40Z	40.262	5.250	26.386
64	2013-04-26T18:00:40Z	36.704	5.255	26.461
65	2013-04-26T18:30:40Z	35.521	5.261	26.417
66	2013-04-26T19:00:40Z	33.717	5.262	26.484
67	2013-04-26T19:30:40Z	33.884	5.254	26.468
68	2013-04-26T20:00:40Z	33.512	5.248	26.469
69	2013-04-26T20:30:40Z	31.992	5.241	26.517
70	2013-04-26T21:00:40Z	31.768	5.252	26.618
71	2013-04-26T21:30:40Z	31.618	5.250	26.522
72	2013-04-26T22:00:40Z	30.976	5.251	26.586
73	2013-04-26T22:30:40Z	30.491	5.265	26.684
74	2013-04-26T23:00:40Z	32.496	5.258	26.533
75	2013-04-26T23:30:40Z	33.081	5.258	26.590
76	2013-04-27T00:00:40Z	34.338	5.245	26.513
77	2013-04-27T00:30:40Z	38.528	5.233	26.403
78	2013-04-27T01:00:40Z	42.989	5.239	26.285
79	2013-04-27T01:30:40Z	45.959	5.249	26.137
80	2013-04-27T02:00:40Z	46.115	5.244	26.109
81	2013-04-27T02:30:40Z	55.425	5.274	25.936
82	2013-04-27T03:00:40Z	63.280	5.309	25.767
83	2013-04-27T03:30:40Z	66.361	5.356	25.707
84	2013-04-27T04:00:40Z	70.143	5.447	25.337
85	2013-04-27T04:30:40Z	74.884	5.537	25.168
86	2013-04-27T05:00:40Z	59.146	5.334	25.879
87	2013-04-27T05:30:40Z	52.833	5.297	26.032
88	2013-04-27T06:00:40Z	49.007	5.279	26.141
89	2013-04-27T06:30:40Z	46.931	5.269	26.091
90	2013-04-27T07:00:40Z	46.694	5.268	26.012
91	2013-04-27T07:30:40Z	48.416	5.274	26.069
92	2013-04-27T08:00:40Z	49.854	5.282	26.066
93	2013-04-27T08:30:40Z	48.361	5.278	26.066
94	2013-04-27T09:00:40Z	49.391	5.282	26.020
95	2013-04-27T09:30:40Z	56.733	5.277	25.943
96	2013-04-27T10:00:40Z	55.982	5.358	25.815
97	2013-04-27T10:30:40Z	53.730	5.379	25.848
98	2013-04-27T11:00:40Z	54.714	5.355	25.908
99	2013-04-27T11:30:40Z	55.057	5.380	25.836
100	2013-04-27T12:00:40Z	56.038	5.418	25.727
101	2013-04-27T12:30:40Z	59.151	5.473	25.711
102	2013-04-27T13:00:40Z	59.321	5.487	25.808
103	2013-04-27T13:30:40Z	57.896	5.475	25.666
104	2013-04-27T14:00:40Z	65.541	5.507	25.561
105	2013-04-27T14:30:40Z	68.576	5.475	25.465
106	2013-04-27T15:00:40Z	69.161	5.457	25.557
107	2013-04-27T15:30:40Z	62.779	5.400	25.714
108	2013-04-27T16:00:40Z	61.778	5.453	25.694
109	2013-04-27T16:30:40Z	63.414	5.481	25.698
110	2013-04-27T17:00:40Z	64.986	5.487	25.606
111	2013-04-27T17:30:40Z	69.997	5.537	25.597
112	2013-04-27T18:00:40Z	70.891	5.531	25.656
113	2013-04-27T18:30:40Z	65.316	5.417	25.948
114	2013-04-27T19:00:40Z	51.545	5.334	26.071
115	2013-04-27T19:30:40Z	46.762	5.272	26.164
116	2013-04-27T20:00:40Z	44.600	5.255	26.253
117	2013-04-27T20:30:40Z	45.809	5.260	26.078
118	2013-04-27T21:00:40Z	43.075	5.251	26.323
119	2013-04-27T21:30:40Z	38.446	5.252	26.394
120	2013-04-27T22:00:40Z	42.780	5.251	26.295
121	2013-04-27T22:30:40Z	43.872	5.250	26.219
122	2013-04-27T23:00:40Z	45.014	5.253	26.144
123	2013-04-27T23:30:40Z	49.039	5.286	26.040
124	2013-04-28T00:00:40Z	51.936	5.306	25.901
125	2013-04-28T00:30:40Z	49.900	5.287	26.002
126	2013-04-28T01:00:40Z	49.029	5.268	26.070
127	2013-04-28T01:30:40Z	47.238	5.259	26.205
128	2013-04-28T02:00:40Z	48.336	5.266	26.033
129	2013-04-28T02:30:40Z	57.154	5.335	25.821
130	2013-04-28T03:00:40Z	56.383	5.334	25.777
131	2013-04-28T03:30:40Z	55.075	5.321	25.879
132	2013-04-28T04:00:40Z	57.098	5.383	25.738
133	2013-04-28T04:30:40Z	55.890	5.417	25.783
134	2013-04-28T05:00:40Z	54.724	5.353	25.781
135	2013-04-28T05:30:40Z	51.082	5.305	25.964
136	2013-04-28T06:00:40Z	50.819	5.283	25.988
137	2013-04-28T06:30:40Z	50.725	5.292	25.947
138	2013-04-28T07:00:40Z	49.988	5.282	26.096
139	2013-04-28T07:30:40Z	43.922	5.264	26.122
140	2013-04-28T08:00:40Z	45.050	5.266	26.166
141	2013-04-28T08:30:40Z	46.168	5.270	26.090
142	2013-04-28T09:00:40Z	43.723	5.261	26.211
143	2013-04-28T09:30:40Z	41.510	5.252	26.324
144	2013-04-28T10:00:40Z	41.362	5.251	26.336
145	2013-04-28T10:30:40Z	39.435	5.247	26.350
146	2013-04-28T11:00:40Z	39.357	5.249	26.323
147	2013-04-28T11:30:40Z	43.650	5.254	26.275
148	2013-04-28T12:00:40Z	43.161	5.254	26.259
149	2013-04-28T12:30:40Z	44.349	5.258	26.174
150	2013-04-28T13:00:40Z	44.986	5.260	26.208
151	2013-04-28T13:30:40Z	36.203	5.250	26.422
152	2013-04-28T14:00:40Z	37.990	5.250	26.387
153	2013-04-28T14:30:40Z	37.103	5.251	26.467
154	2013-04-28T15:00:40Z	42.376	5.250	26.197
155	2013-04-28T15:30:40Z	39.549	5.250	26.356
156	2013-04-28T16:00:40Z	35.937	5.254	26.384
157	2013-04-28T16:30:40Z	36.569	5.256	26.525
158	2013-04-28T17:00:40Z	39.554	5.258	26.319
159	2013-04-28T17:30:40Z	40.617	5.264	26.167
160	2013-04-28T18:00:40Z	40.138	5.260	26.244
161	2013-04-28T18:30:40Z	39.695	5.260	26.288
162	2013-04-28T19:00:40Z	39.690	5.260	26.421
163	2013-04-28T19:30:40Z	34.823	5.263	26.496
164	2013-04-28T20:00:40Z	31.327	5.273	26.592
165	2013-04-28T20:30:40Z	29.694	5.281	26.636
166	2013-04-28T21:00:40Z	28.472	5.287	26.680
167	2013-04-28T21:30:40Z	31.528	5.264	26.577
168	2013-04-28T22:00:40Z	22.183	5.315	26.722
169	2013-04-28T22:30:40Z	26.646	5.300	26.612
170	2013-04-28T23:00:40Z	32.000	5.272	26.638
171	2013-04-28T23:30:40Z	26.898	5.288	26.590
172	2013-04-29T00:00:40Z	29.812	5.273	26.489
173	2013-04-29T00:30:40Z	35.427	5.265	26.511
174	2013-04-29T01:00:40Z	30.329	5.273	26.546
175	2013-04-29T01:30:40Z	28.547	5.277	26.611
176	2013-04-29T02:00:40Z	33.356	5.266	26.467
177	2013-04-29T02:30:40Z	36.026	5.257	26.616
178	2013-04-29T03:00:40Z	38.339	5.254	26.372
179	2013-04-29T03:30:40Z	42.898	5.261	26.241
180	2013-04-29T04:00:40Z	41.732	5.260	26.330
181	2013-04-29T04:30:40Z	38.603	5.260	26.318
182	2013-04-29T05:00:40Z	39.227	5.269	26.285
183	2013-04-29T05:30:40Z	39.075	5.264	26.289
184	2013-04-29T06:00:40Z	34.536	5.265	26.413
185	2013-04-29T06:30:40Z	34.391	5.262	26.426
186	2013-04-29T07:00:40Z	34.504	5.262	26.426
187	2013-04-29T07:30:40Z	31.339	5.267	26.485
188	2013-04-29T08:00:40Z	28.393	5.280	26.571
189	2013-04-29T08:30:40Z	27.191	5.292	26.636
190	2013-04-29T09:00:40Z	19.013	5.350	26.815
191	2013-04-29T09:30:40Z	16.716	5.374	26.814
192	2013-04-29T10:00:40Z	24.692	5.336	26.824
193	2013-04-29T10:30:40Z	17.110	5.370	26.825
194	2013-04-29T11:00:40Z	17.859	5.365	26.886
195	2013-04-29T11:30:40Z	16.387	5.379	26.822
196	2013-04-29T12:00:40Z	19.044	5.371	26.868
197	2013-04-29T12:30:40Z	20.390	5.354	26.759
198	2013-04-29T13:00:40Z	23.068	5.337	26.809
199	2013-04-29T13:30:40Z	25.227	5.302	26.659
200	2013-04-29T14:00:40Z	25.118	5.298	26.612
201	2013-04-29T14:30:40Z	27.663	5.287	26.623
202	2013-04-29T15:00:40Z	29.265	5.282	26.499
203	2013-04-29T15:30:40Z	32.535	5.272	26.443
204	2013-04-29T16:00:40Z	32.058	5.275	26.473
205	2013-04-29T16:30:40Z	32.255	5.277	26.483
206	2013-04-29T17:00:40Z	33.850	5.274	26.379
207	2013-04-29T17:30:40Z	34.215	5.271	26.490
208	2013-04-29T18:00:40Z	26.915	5.289	26.627
209	2013-04-29T18:30:40Z	28.106	5.288	26.634
210	2013-04-29T19:00:40Z	23.931	5.313	26.742
211	2013-04-29T19:30:40Z	21.845	5.343	26.828
212	2013-04-29T20:00:40Z	21.133	5.348	26.832
213	2013-04-29T20:30:40Z	13.459	5.418	26.983
214	2013-04-29T21:00:40Z	17.020	5.401	26.910
215	2013-04-29T21:30:40Z	12.898	5.433	26.981
216	2013-04-29T22:00:40Z	14.505	5.407	26.843
217	2013-04-29T22:30:40Z	14.439	5.415	26.915
218	2013-04-29T23:00:40Z	20.045	5.368	26.738
219	2013-04-29T23:30:40Z	22.407	5.347	26.846
220	2013-04-30T00:00:40Z	14.278	5.412	26.957
221	2013-04-30T00:30:40Z	12.596	5.434	26.973
222	2013-04-30T01:00:40Z	11.305	5.447	26.989
223	2013-04-30T01:30:40Z	8.203	5.464	27.027
224	2013-04-30T02:00:40Z	8.599	5.458	26.982
225	2013-04-30T02:30:40Z	10.356	5.452	26.981
226	2013-04-30T03:00:40Z	9.818	5.444	26.968
227	2013-04-30T03:30:40Z	10.050	5.437	26.958
228	2013-04-30T04:00:40Z	12.390	5.420	26.952
229	2013-04-30T04:30:40Z	15.628	5.394	26.875
230	2013-04-30T05:00:40Z	15.287	5.403	26.902
231	2013-04-30T05:30:40Z	19.799	5.360	26.743
232	2013-04-30T06:00:40Z	22.771	5.347	26.849
233	2013-04-30T06:30:40Z	21.225	5.353	26.799
234	2013-04-30T07:00:40Z	19.730	5.358	26.809
235	2013-04-30T07:30:40Z	18.705	5.364	26.743
236	2013-04-30T08:00:40Z	23.610	5.340	26.678
237	2013-04-30T08:30:40Z	24.421	5.331	26.721
238	2013-04-30T09:00:40Z	22.391	5.343	26.674
239	2013-04-30T09:30:40Z	18.569	5.370	26.825
240	2013-04-30T10:00:40Z	20.332	5.358	26.738
241	2013-04-30T10:30:40Z	17.136	5.382	26.810
242	2013-04-30T11:00:40Z	18.496	5.378	26.818
243	2013-04-30T11:30:40Z	22.818	5.348	26.745
244	2013-04-30T12:00:40Z	15.571	5.396	26.892
245	2013-04-30T12:30:40Z	13.916	5.402	26.811
246	2013-04-30T13:00:40Z	17.135	5.387	26.827
247	2013-04-30T13:30:40Z	21.571	5.368	26.930
248	2013-04-30T14:00:40Z	17.259	5.389	26.876
249	2013-04-30T14:30:40Z	19.050	5.384	26.770
250	2013-04-30T15:00:40Z	16.833	5.383	26.892
251	2013-04-30T15:30:40Z	23.813	5.353	26.803
252	2013-04-30T16:00:40Z	21.074	5.357	26.771
253	2013-04-30T16:30:40Z	22.450	5.355	26.769
254	2013-04-30T17:00:40Z	22.858	5.352	26.768
255	2013-04-30T17:30:40Z	21.607	5.360	26.766
256	2013-04-30T18:00:40Z	24.212	5.353	26.637
257	2013-04-30T18:30:40Z	28.322	5.351	26.615
258	2013-04-30T19:00:40Z	28.202	5.346	26.646
259	2013-04-30T19:30:40Z	31.559	5.361	26.596
260	2013-04-30T20:00:40Z	24.840	5.359	26.728
