datetime	temperature	salinity	oxygen
2011-04-19 16:42:01	4.58400011063	26.7325992584	58.8460006714
2011-04-19 17:12:01	3.37599992752	27.6944999695	54.8040008545
2011-04-19 17:42:01	3.2349998951	27.4459991455	55.5159988403
2011-04-19 18:12:01	3.17100000381	27.8504009247	55.7210006714
2011-04-19 18:42:01	3.20000004768	27.8703994751	55.4029998779
2011-04-19 19:12:01	3.15599989891	27.8348999023	55.2550010681
2011-04-19 19:42:01	3.21499991417	27.7710990906	54.6980018616
2011-04-19 20:12:01	3.20799994469	27.851600647	54.0820007324
2011-04-19 20:42:01	3.24900007248	27.9013996124	53.6660003662
2011-04-19 21:12:01	3.40899991989	27.9873008728	53.8619995117
2011-04-19 21:42:01	3.48399996758	28.0519008636	53.1699981689
2011-04-19 22:12:01	3.42300009727	27.9482002258	53.6570014954
2011-04-19 22:42:01	3.29999995232	27.8952007294	57.4239997864
2011-04-19 23:12:01	3.29399991035	27.8554992676	53.3289985657
2011-04-19 23:42:01	3.29399991035	28.0076999664	54.4840011597
2011-04-20 00:12:01	3.28900003433	27.872800827	54.4119987488
2011-04-20 00:42:01	3.28699994087	27.822599411	55.6749992371
2011-04-20 01:12:01	3.27900004387	27.7021007538	55.0120010376
2011-04-20 01:42:01	3.2460000515	27.7068004608	53.6749992371
2011-04-20 02:12:01	3.23099994659	27.7350006104	55.3009986877
2011-04-20 02:42:01	3.26900005341	27.6422996521	53.702999115
2011-04-20 03:12:01	3.28399991989	27.5657997131	57.811000824
2011-04-20 03:42:01	3.28999996185	27.4675998688	55.9440002441
2011-04-20 04:12:01	3.27600002289	27.3981990814	55.5859985352
2011-04-20 04:42:01	3.28200006485	27.4979991913	57.9650001526
2011-04-20 05:12:01	3.28099989891	27.6107997894	55.7019996643
2011-04-20 05:42:01	3.22699999809	27.6534004211	54.6370010376
2011-04-20 06:12:01	3.21700000763	27.6135005951	54.7480010986
2011-04-20 06:42:01	3.21199989319	27.6497001648	54.7779998779
2011-04-20 07:12:01	3.21300005913	27.8579998016	55.6819992065
2011-04-20 07:42:01	3.24499988556	27.7159004211	54.9420013428
2011-04-20 08:12:01	3.2460000515	27.7208995819	54.1339988708
2011-04-20 08:42:01	3.257999897	27.7425003052	52.8460006714
2011-04-20 09:12:01	3.22300004959	27.7914009094	53.1710014343
2011-04-20 09:42:01	3.24300003052	27.801399231	52.5029983521
2011-04-20 10:12:01	3.24099993706	27.7180995941	53.5260009766
2011-04-20 10:42:01	3.26900005341	27.6765003204	53.1360015869
2011-04-20 11:12:01	3.29200005531	27.7675991058	52.341999054
2011-04-20 11:42:01	3.25099992752	27.8027992249	54.2470016479
2011-04-20 12:12:01	3.257999897	27.7756004333	53.1199989319
2011-04-20 12:42:01	3.26799988747	27.7280006409	53.111000061
2011-04-20 13:12:01	3.24300003052	27.8593006134	53.8149986267
2011-04-20 13:42:01	3.257999897	27.7413005829	54.5439987183
2011-04-20 14:12:01	3.25300002098	27.6723995209	53.4910011292
2011-04-20 14:42:01	3.32800006866	27.7908992767	53.2610015869
2011-04-20 15:12:01	3.3710000515	27.8446998596	50.7389984131
2011-04-20 15:42:01	3.40899991989	27.7275009155	50.0649986267
2011-04-20 16:12:01	3.35299992561	27.7742004395	52.341999054
2011-04-20 16:42:01	3.37700009346	27.7653999329	52.452999115
2011-04-20 17:12:01	3.37199997902	27.7921009064	51.4609985352
2011-04-20 17:42:01	3.41799998283	27.7562007904	50.1049995422
2011-04-20 18:12:01	3.34299993515	27.8239994049	51.3149986267
2011-04-20 18:42:01	3.3789999485	27.8143005371	51.4790000916
2011-04-20 19:12:01	3.41700005531	27.8052005768	49.486000061
2011-04-20 19:42:01	3.38700008392	27.7933006287	52.6899986267
2011-04-20 20:12:01	3.37599992752	27.7616004944	52.5670013428
2011-04-20 20:42:01	3.38100004196	27.7879009247	52.7249984741
2011-04-20 21:12:01	3.33100008965	27.7082996368	51.1430015564
2011-04-20 21:42:01	3.35599994659	27.8987998962	50.1809997559
2011-04-20 22:12:01	3.3789999485	27.9825992584	52.9430007935
2011-04-20 22:42:01	3.38100004196	27.9291000366	51.7919998169
2011-04-20 23:12:01	3.40499997139	27.9671993256	51.6479988098
2011-04-20 23:42:01	3.34299993515	27.9171009064	50.5499992371
2011-04-21 00:12:01	3.35400009155	27.9559001923	49.8460006714
2011-04-21 00:42:01	3.34999990463	27.889799118	52.0040016174
2011-04-21 01:12:01	3.34599995613	27.8556003571	51.4910011292
2011-04-21 01:42:01	3.3180000782	27.8537006378	52.9799995422
2011-04-21 02:12:01	3.30900001526	27.8190002441	53.7910003662
2011-04-21 02:42:01	3.28999996185	27.744600296	51.9350013733
2011-04-21 03:12:01	3.29200005531	27.6450004578	52.6699981689
2011-04-21 03:42:01	3.29399991035	27.6998996735	53.4259986877
2011-04-21 04:12:01	3.29399991035	27.6457004547	53.2999992371
2011-04-21 04:42:01	3.30999994278	27.5331001282	53.0120010376
2011-04-21 05:12:01	3.31699991226	27.5471000671	53.46900177
2011-04-21 05:42:01	3.32699990273	27.5669002533	52.8100013733
2011-04-21 06:12:01	3.34599995613	27.5272006989	52.6679992676
2011-04-21 06:42:01	3.32800006866	27.579000473	53.4959983826
2011-04-21 07:12:01	3.31699991226	27.5988998413	53.4630012512
2011-04-21 07:42:01	3.30999994278	27.6238002777	53.438999176
2011-04-21 08:12:01	3.35899996758	27.7325992584	53.3320007324
2011-04-21 08:42:01	3.34999990463	27.7649993896	51.5449981689
2011-04-21 09:12:01	3.33100008965	27.7812995911	50.8880004883
2011-04-21 09:42:01	3.27099990845	27.8246002197	52.5709991455
2011-04-21 10:12:01	3.31299996376	27.9123001099	52.8019981384
2011-04-21 10:42:01	3.40899991989	28.0072994232	51.6959991455
2011-04-21 11:12:01	3.41199994087	27.9540996552	51.6279983521
2011-04-21 11:42:01	3.36899995804	27.9171009064	51.563999176
2011-04-21 12:12:01	3.30999994278	27.8829994202	52.6870002747
2011-04-21 12:42:01	3.28999996185	27.903799057	52.0760002136
2011-04-21 13:12:01	3.31200003624	27.9437999725	52.3320007324
2011-04-21 13:42:01	3.28600001335	27.8931007385	53.3199996948
2011-04-21 14:12:01	3.34299993515	27.9512004852	53.033000946
2011-04-21 14:42:01	3.33800005913	27.9071998596	52.1160011292
2011-04-21 15:12:01	3.41300010681	28.0027008057	52.6599998474
2011-04-21 15:42:01	3.37599992752	27.9568996429	52.5359992981
2011-04-21 16:12:01	3.37599992752	27.9498996735	52.34400177
2011-04-21 16:42:01	3.2990000248	27.8819007874	52.577999115
2011-04-21 17:12:01	3.3069999218	27.9480991364	52.4490013123
2011-04-21 17:42:01	3.26799988747	27.8472003937	52.5760002136
2011-04-21 18:12:01	3.30399990082	27.8528003693	52.8689994812
