{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.362919 0.222760 0.978723
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.362264 0.222222 0.979592
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.354244 0.216704 0.969697
{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.530201 0.369159 0.940476
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.530201 0.367442 0.951807
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.533333 0.370370 0.952381
{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.573248 0.459184 0.762712
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.566038 0.450000 0.762712
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.576687 0.460784 0.770492
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.415179 0.263456 0.978947
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.403471 0.254098 0.978947
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.396588 0.249330 0.968750
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.564103 0.404908 0.929577
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.546218 0.386905 0.928571
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.536170 0.377246 0.926471
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.589147 0.513514 0.690909
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.589147 0.513514 0.690909
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.604651 0.534247 0.696429
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.446154 0.289037 0.977528
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.445570 0.288525 0.977778
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.441748 0.286164 0.968085
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.539216 0.390071 0.873016
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.577114 0.426471 0.892308
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.555024 0.402778 0.892308
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.642857 0.620690 0.666667
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.630631 0.614035 0.648148
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.612613 0.586207 0.641509
{'minPoints': 12, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.477454 0.315789 0.978261
{'minPoints': 12, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.479784 0.317857 0.978022
{'minPoints': 12, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.481865 0.319588 0.978947
{'minPoints': 12, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.574586 0.436975 0.838710
{'minPoints': 12, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.577778 0.440678 0.838710
{'minPoints': 12, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.582418 0.449153 0.828125
{'minPoints': 12, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.640000 0.680851 0.603774
{'minPoints': 12, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.647059 0.687500 0.611111
{'minPoints': 12, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.603774 0.615385 0.592593
{'minPoints': 14, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.531856 0.365019 0.979592
{'minPoints': 14, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.517711 0.350554 0.989583
{'minPoints': 14, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.512676 0.346008 0.989130
{'minPoints': 14, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.608696 0.485149 0.816667
{'minPoints': 14, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.618421 0.500000 0.810345
{'minPoints': 14, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.610390 0.489583 0.810345
{'minPoints': 14, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.568182 0.657895 0.500000
{'minPoints': 14, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.600000 0.675000 0.540000
{'minPoints': 14, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.623656 0.707317 0.557692
{'minPoints': 16, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.549254 0.381743 0.978723
{'minPoints': 16, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.529412 0.361446 0.989011
{'minPoints': 16, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.556522 0.387097 0.989691
{'minPoints': 16, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.647059 0.578947 0.733333
{'minPoints': 16, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.638298 0.555556 0.750000
{'minPoints': 16, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.637681 0.556962 0.745763
{'minPoints': 16, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.581395 0.735294 0.480769
{'minPoints': 16, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.558140 0.705882 0.461538
{'minPoints': 16, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.588235 0.735294 0.490196
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.575163 0.409302 0.967033
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.579805 0.412037 0.978022
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.565079 0.397321 0.978022
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.655738 0.615385 0.701754
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.650794 0.602941 0.706897
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.646154 0.583333 0.724138
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.531646 0.724138 0.420000
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.472222 0.680000 0.361702
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.486486 0.666667 0.382979
{'minPoints': 20, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.625430 0.466667 0.947917
{'minPoints': 20, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.597938 0.435000 0.956044
{'minPoints': 20, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.589041 0.427861 0.945055
{'minPoints': 20, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.589474 0.636364 0.549020
{'minPoints': 20, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.600000 0.612245 0.588235
{'minPoints': 20, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.648148 0.636364 0.660377
{'minPoints': 20, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.360656 0.733333 0.239130
{'minPoints': 20, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.380952 0.705882 0.260870
{'minPoints': 20, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.417910 0.700000 0.297872
{'minPoints': 22, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.654378 0.500000 0.946667
{'minPoints': 22, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.645740 0.493151 0.935065
{'minPoints': 22, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.627615 0.471698 0.937500
{'minPoints': 22, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.512821 0.689655 0.408163
{'minPoints': 22, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.519481 0.666667 0.425532
{'minPoints': 22, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.571429 0.685714 0.489796
{'minPoints': 22, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.264151 0.875000 0.155556
{'minPoints': 22, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.235294 0.857143 0.136364
{'minPoints': 22, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.264151 0.875000 0.155556
{'minPoints': 24, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.675000 0.568421 0.830769
{'minPoints': 24, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.679012 0.567010 0.846154
{'minPoints': 24, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.666667 0.548077 0.850746
{'minPoints': 24, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.454545 0.789474 0.319149
{'minPoints': 24, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.430769 0.777778 0.297872
{'minPoints': 24, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.444444 0.875000 0.297872
{'minPoints': 24, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.200000 0.833333 0.113636
{'minPoints': 24, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.240000 1.000000 0.136364
{'minPoints': 24, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.235294 0.857143 0.136364
{'minPoints': 6, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.359768 0.222488 0.939394
{'minPoints': 6, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.376471 0.234146 0.960000
{'minPoints': 6, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.366667 0.226545 0.961165
{'minPoints': 6, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.547297 0.387560 0.931034
{'minPoints': 6, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.536082 0.376812 0.928571
{'minPoints': 6, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.552632 0.392523 0.933333
{'minPoints': 6, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.600000 0.495146 0.761194
{'minPoints': 6, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.581395 0.471698 0.757576
{'minPoints': 6, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.609195 0.500000 0.779412
{'minPoints': 8, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.380342 0.237968 0.946809
{'minPoints': 8, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.405920 0.257373 0.960000
{'minPoints': 8, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.402464 0.254545 0.960784
{'minPoints': 8, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.542510 0.389535 0.893333
{'minPoints': 8, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.561265 0.405714 0.910256
{'minPoints': 8, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.536585 0.383721 0.891892
{'minPoints': 8, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.613139 0.545455 0.700000
{'minPoints': 8, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.617647 0.560000 0.688525
{'minPoints': 8, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.616541 0.554054 0.694915
{'minPoints': 10, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.418919 0.268786 0.948980
{'minPoints': 10, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.439024 0.284483 0.961165
{'minPoints': 10, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.447427 0.291545 0.961538
{'minPoints': 10, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.576923 0.425532 0.895522
{'minPoints': 10, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.590476 0.439716 0.898551
{'minPoints': 10, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.574163 0.422535 0.895522
{'minPoints': 10, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.553571 0.543860 0.563636
{'minPoints': 10, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.558559 0.553571 0.563636
{'minPoints': 10, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.558559 0.553571 0.563636
{'minPoints': 12, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.468085 0.310345 0.951923
{'minPoints': 12, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.478873 0.318750 0.962264
{'minPoints': 12, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.469767 0.310769 0.961905
{'minPoints': 12, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.611111 0.474138 0.859375
{'minPoints': 12, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.604651 0.468468 0.852459
{'minPoints': 12, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.593023 0.455357 0.850000
