{'minPoints': 16, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.634615 0.846154 0.507692
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.607143 0.443478 0.962264
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.613003 0.450000 0.961165
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.605505 0.445946 0.942857
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.709220 0.724638 0.694444
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.708333 0.718310 0.698630
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.708333 0.718310 0.698630
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.595745 0.823529 0.466667
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.632653 0.861111 0.500000
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.625000 0.882353 0.483871
{'minPoints': 20, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.664474 0.510101 0.952830
{'minPoints': 20, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.648829 0.494898 0.941748
{'minPoints': 20, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.638436 0.485149 0.933333
{'minPoints': 20, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.666667 0.773585 0.585714
{'minPoints': 20, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.687500 0.771930 0.619718
{'minPoints': 20, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.716418 0.761905 0.676056
{'minPoints': 20, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.469136 0.826087 0.327586
{'minPoints': 20, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.469136 0.826087 0.327586
{'minPoints': 20, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.469136 0.826087 0.327586
{'minPoints': 22, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.666667 0.535948 0.881720
{'minPoints': 22, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.664032 0.528302 0.893617
{'minPoints': 22, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.664151 0.523810 0.907216
{'minPoints': 22, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.582524 0.769231 0.468750
{'minPoints': 22, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.601942 0.794872 0.484375
{'minPoints': 22, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.641509 0.809524 0.531250
{'minPoints': 22, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.378378 0.875000 0.241379
{'minPoints': 22, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.356164 0.866667 0.224138
{'minPoints': 22, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.356164 0.866667 0.224138
{'minPoints': 24, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.726316 0.638889 0.841463
{'minPoints': 24, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.696517 0.598291 0.833333
{'minPoints': 24, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.720812 0.622807 0.855422
{'minPoints': 24, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.488372 0.807692 0.350000
{'minPoints': 24, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.511628 0.814815 0.372881
{'minPoints': 24, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.511628 0.846154 0.366667
{'minPoints': 24, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.246154 0.888889 0.142857
{'minPoints': 24, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.193548 0.857143 0.109091
{'minPoints': 24, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.193548 0.857143 0.109091
